CaseNumber,ReportedDate,Offense,UCRCode,ReportedYearMonth,ReportedDay
MP 2018 168775,2018-05-24 08:00:00+00:00,Burglary,6,2018-05,2018-05-24
MP 2018 168816,2018-05-24 09:16:00+00:00,Burglary,6,2018-05,2018-05-24
MP 2018 168857,2018-05-24 10:31:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 168876,2018-05-24 10:50:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 168906,2018-05-24 11:25:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 997424,2018-05-24 11:48:20+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 168828,2018-05-24 13:30:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169000,2018-05-24 13:07:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 168897,2018-05-24 13:15:00+00:00,Burglary,6,2018-05,2018-05-24
MP 2018 997422,2018-05-24 13:35:57+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169032,2018-05-24 13:44:00+00:00,Assault,5,2018-05,2018-05-24
MP 2018 997421,2018-05-24 14:36:13+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 997420,2018-05-24 14:39:33+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169154,2018-05-24 15:21:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169151,2018-05-24 16:25:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169260,2018-05-24 16:45:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 997417,2018-05-24 16:58:28+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 997416,2018-05-24 17:12:44+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169350,2018-05-24 17:48:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169407,2018-05-24 18:42:00+00:00,Assault,5,2018-05,2018-05-24
MP 2018 169378,2018-05-24 18:52:00+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169429,2018-05-24 19:08:00+00:00,Burglary,6,2018-05,2018-05-24
MP 2018 169353,2018-05-24 19:00:00+00:00,Auto Theft,8,2018-05,2018-05-24
MP 2018 169471,2018-05-24 19:20:00+00:00,Burglary,6,2018-05,2018-05-24
MP 2018 997415,2018-05-24 19:29:24+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 997414,2018-05-24 19:52:04+00:00,Larceny,7,2018-05,2018-05-24
MP 2018 169459,2018-05-24 19:55:00+00:00,Assault,5,2018-05,2018-05-24
