Day,CrimeCount,,,
2018-01-01,40,,,
2018-01-02,51,,,
2018-01-03,55,,,
2018-01-04,47,,,
2018-01-05,68,,,
2018-01-06,34,,,
2018-01-07,49,,,
2018-01-08,48,,,
2018-01-09,42,,,
2018-01-10,37,,,
2018-01-11,48,,,
2018-01-12,55,,,
2018-01-13,32,,,
2018-01-14,35,,,
2018-01-15,39,,,
2018-01-16,64,,,
2018-01-17,53,,,
2018-01-18,44,,,
2018-01-19,61,,,
2018-01-20,74,,,
2018-01-21,53,,,
2018-01-22,33,,,
2018-01-23,34,,,
2018-01-24,52,,,
2018-01-25,53,,,
2018-01-26,41,,,
2018-01-27,40,,,
2018-01-28,45,,,
2018-01-29,50,,,
2018-01-30,54,,,
2018-01-31,51,,,
2018-02-01,45,,,
2018-02-02,51,,,
2018-02-03,52,,,
2018-02-04,87,,,
2018-02-05,70,,,
2018-02-06,60,,,
2018-02-07,52,,,
2018-02-08,56,,,
2018-02-09,48,,,
2018-02-10,36,,,
2018-02-11,30,,,
2018-02-12,48,,,
2018-02-13,36,,,
2018-02-14,40,,,
2018-02-15,41,,,
2018-02-16,47,,,
2018-02-17,27,,,
2018-02-18,38,,,
2018-02-19,50,,,
2018-02-20,41,,,
2018-02-21,50,,,
2018-02-22,45,,,
2018-02-23,51,,,
2018-02-24,30,,,
2018-02-25,24,,,
2018-02-26,45,,,
2018-02-27,42,,,
2018-02-28,34,,,
2018-03-01,43,,,
2018-03-02,45,,,
2018-03-03,32,,,
2018-03-04,62,,,
2018-03-05,56,,,
2018-03-06,38,,,
2018-03-07,54,,,
2018-03-08,33,,,
2018-03-09,40,,,
2018-03-10,41,,,
2018-03-11,52,,,
2018-03-12,45,,,
2018-03-13,43,,,
2018-03-14,49,,,
2018-03-15,45,,,
2018-03-16,48,,,
2018-03-17,39,,,
2018-03-18,37,,,
2018-03-19,50,,,
2018-03-20,51,,,
2018-03-21,37,,,
2018-03-22,56,,,
2018-03-23,41,,,
2018-03-24,39,,,
2018-03-25,42,,,
2018-03-26,62,,,
2018-03-27,41,,,
2018-03-28,58,,,
2018-03-29,49,,,
2018-03-30,54,,,
2018-03-31,23,,,
2018-04-01,36,,,
2018-04-02,58,,,
2018-04-03,51,,,
2018-04-04,51,,,
2018-04-05,49,,,
2018-04-06,41,,,
2018-04-07,42,,,
2018-04-08,32,,,
2018-04-09,36,,,
2018-04-10,49,,,
2018-04-11,44,,,
2018-04-12,46,,,
2018-04-13,39,,,
2018-04-14,33,,,
2018-04-15,18,,,
2018-04-16,42,,,
2018-04-17,51,,,
2018-04-18,38,,,
2018-04-19,40,,,
2018-04-20,35,,,
2018-04-21,41,,,
2018-04-22,49,,,
