Month,CrimeCount
2017-01,1569
2017-02,1461
2017-03,1665
2017-04,1793
2017-05,1945
2017-06,2106
2017-07,2112
2017-08,2120
2017-09,1965
2017-10,1976
2017-11,1745
2017-12,1628
2018-01,1482
2018-02,1276
2018-03,1405
2018-04,1326
2018-05,1674
2018-06,1462
2018-07,1816
2018-08,1751
2018-09,1787
2018-10,1857
2018-11,1628
2018-12,1490
2019-01,1503
2019-02,1251
2019-03,1457
2019-04,1715
2019-05,2012
2019-06,2239
2019-07,2325
2019-08,2320
2019-09,2248
2019-10,2103
2019-11,1972
2019-12,1838
2020-01,1882
2020-02,1613
2020-03,1791
