caseNumber,reportedDate,offense,description
MP 2017 491339,2018-01-01T00:26:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2017 491448,2018-01-01T00:38:00.000Z,ROBPAG,Robbery Per Agg
MP 2017 491390,2018-01-01T01:02:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 000140,2018-01-01T02:05:00.000Z,ASLT3,Aslt-sgnfcnt Bdly Hm
MP 2018 000199,2018-01-01T02:20:00.000Z,ROBPER,Robbery Of Person
MP 2018 000186,2018-01-01T02:54:00.000Z,ASLT3,Aslt-sgnfcnt Bdly Hm
MP 2017 491473,2018-01-01T03:38:00.000Z,DASLT2,2nd Deg Domes Aslt
MP 2018 000122,2018-01-01T03:45:00.000Z,ASLT3,Aslt-sgnfcnt Bdly Hm
MP 2018 000198,2018-01-01T03:47:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 000256,2018-01-01T04:03:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 000307,2018-01-01T05:45:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 000358,2018-01-01T07:50:00.000Z,ROBPAG,Robbery Per Agg
MP 2018 000431,2018-01-01T11:02:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 000482,2018-01-01T12:26:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 000437,2018-01-01T12:30:00.000Z,THEFT,Other Theft
MP 2018 000465,2018-01-01T13:25:00.000Z,BURGB,Burglary Of Business
MP 2018 000420,2018-01-01T13:30:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 000529,2018-01-01T14:32:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 000528,2018-01-01T14:53:00.000Z,SHOPLF,Shoplifting
MP 2017 490883,2018-01-01T15:08:00.000Z,THFTSW,Theft By Swindle
MP 2018 000594,2018-01-01T15:38:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 000630,2018-01-01T16:08:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 000644,2018-01-01T16:30:00.000Z,THEFT,Other Theft
MP 2018 000638,2018-01-01T16:45:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 000645,2018-01-01T17:00:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 000663,2018-01-01T17:45:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 000681,2018-01-01T18:00:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 000701,2018-01-01T18:05:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 000651,2018-01-01T18:08:00.000Z,THEFT,Other Theft
MP 2018 000490,2018-01-01T18:13:00.000Z,THEFT,Other Theft
MP 2018 000734,2018-01-01T18:30:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 000723,2018-01-01T19:00:00.000Z,MVTHFT,Other Vehicle Theft
MP 2018 000746,2018-01-01T19:30:00.000Z,ROBPAG,Robbery Per Agg
MP 2018 000774,2018-01-01T19:36:00.000Z,CSCR,Crim Sex Cond-rape
MP 2018 000735,2018-01-01T20:07:00.000Z,SHOPLF,Shoplifting
MP 2018 000782,2018-01-01T21:20:00.000Z,SHOPLF,Shoplifting
MP 2018 000745,2018-01-01T21:38:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 000710,2018-01-01T21:43:00.000Z,THEFT,Other Theft
MP 2018 999992,2018-01-01T22:56:39.000Z,THEFT,Other Theft
MP 2018 000920,2018-01-01T23:00:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 000919,2018-01-02T01:22:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 000881,2018-01-02T01:30:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 000976,2018-01-02T01:30:00.000Z,DASLT2,2nd Deg Domes Aslt
MP 2018 001108,2018-01-02T06:20:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 001107,2018-01-02T06:30:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 001164,2018-01-02T08:50:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 001179,2018-01-02T09:30:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 001196,2018-01-02T10:32:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 999989,2018-01-02T10:33:36.000Z,THEFT,Other Theft
MP 2018 999988,2018-01-02T10:44:44.000Z,THEFT,Other Theft
MP 2018 001178,2018-01-02T11:00:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 001235,2018-01-02T11:30:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 001222,2018-01-02T11:50:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 999984,2018-01-02T11:58:51.000Z,THEFT,Other Theft
MP 2018 999983,2018-01-02T12:05:12.000Z,THEFT,Other Theft
MP 2018 001293,2018-01-02T13:03:00.000Z,THEFT,Other Theft
MP 2018 999981,2018-01-02T13:41:16.000Z,THEFT,Other Theft
MP 2018 999979,2018-01-02T13:49:48.000Z,THEFT,Other Theft
MP 2018 001223,2018-01-02T14:00:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 001283,2018-01-02T14:00:00.000Z,THEFT,Other Theft
MP 2018 001294,2018-01-02T14:15:00.000Z,THEFT,Other Theft
MP 2018 001381,2018-01-02T14:20:00.000Z,THEFT,Other Theft
MP 2018 001407,2018-01-02T14:24:00.000Z,AUTOTH,Motor Vehicle Theft
