caseNumber,reportedDate,offense,description
MP2018185341        ,2018-06-05T00:00:00.000Z,THEFT   ,OTHER THEFT                   
MP2018184387        ,2018-06-05T00:00:00.000Z,CSCR    ,CSC - RAPE                    
MP2018700017        ,2018-06-05T00:00:00.000Z,THEFT   ,OTHER THEFT                   
MP2018700019        ,2018-06-05T00:00:00.000Z,TFMV    ,THEFT FROM MOTR VEHC          
MP2018700026        ,2018-06-05T00:00:00.000Z,THEFT   ,OTHER THEFT                   
MP2018188006        ,2018-06-06T00:00:00.000Z,THEFT   ,OTHER THEFT                   
MP2018700028        ,2018-06-06T00:00:00.000Z,THEFT   ,OTHER THEFT                   
MP2018700048        ,2018-06-06T00:00:00.000Z,THEFT   ,OTHER THEFT                   
MP2018700052        ,2018-06-06T00:00:00.000Z,TFMV    ,THEFT FROM MOTR VEHC          
MP2018700058        ,2018-06-06T00:00:00.000Z,THEFT   ,OTHER THEFT                   
MP2018700067        ,2018-06-06T00:00:00.000Z,THEFT   ,OTHER THEFT                   
MP2018700068        ,2018-06-06T00:00:00.000Z,THEFT   ,OTHER THEFT                   
MP2018700071        ,2018-06-06T00:00:00.000Z,BIKETF  ,BIKE THEFT                    
MP2018700072        ,2018-06-06T00:00:00.000Z,THEFT   ,OTHER THEFT                   
MP2018700080        ,2018-06-06T00:00:00.000Z,THEFT   ,OTHER THEFT                   
MP2018186249        ,2018-06-06T00:00:00.000Z,BIKETF  ,BIKE THEFT                    
MP2018189208        ,2018-06-07T00:00:00.000Z,THEFT   ,OTHER THEFT                   
MP2018187810        ,2018-06-07T00:00:00.000Z,ASLT2   ,ASSLT W/DNGRS WEAPON          
MP2018188189        ,2018-06-07T00:00:00.000Z,DASTR   ,DOMESTIC ASSAULT/STRANGULATION
MP2018700035        ,2018-06-07T00:00:00.000Z,THEFT   ,OTHER THEFT                   
MP2018700036        ,2018-06-07T00:00:00.000Z,THEFT   ,OTHER THEFT                   
MP2018700039        ,2018-06-07T00:00:00.000Z,TFMV    ,THEFT FROM MOTR VEHC          
MP2018700060        ,2018-06-07T00:00:00.000Z,TFMV    ,THEFT FROM MOTR VEHC          
MP2018700061        ,2018-06-07T00:00:00.000Z,THFTSW  ,THEFT BY SWINDLE              
MP2018700062        ,2018-06-07T00:00:00.000Z,THEFT   ,OTHER THEFT                   
MP2018700081        ,2018-06-07T00:00:00.000Z,TFMV    ,THEFT FROM MOTR VEHC          
MP2018700083        ,2018-06-07T00:00:00.000Z,TFMV    ,THEFT FROM MOTR VEHC          
